Benchmark,Hipster found,Hipster < TheSy,TheSy found,TheSy < Hipster,TheSy Time,Hipster Time
Prop_01,2,1,7,2,7.281719546,837.305445
Prop_02,11,9,24,14,5.794761583,1158.89443
Prop_03,9,5,15,5,0.867422431,665.912464
Prop_04,3,1,7,1,0.183222155,293.202383
Prop_05,4,2,7,1,0.18283422800000002,303.475094
Prop_06,11,3,17,7,1.174766931,310.060106
Prop_07,11,3,17,7,1.160575824,312.827083
Prop_08,11,2,17,7,1.1263070609999999,315.612913
Prop_09,11,2,17,7,1.168009741,305.37079
Prop_10,5,4,4,4,0.076609535,525.465531
Prop_11,0,1,1,1,0.0035707750000000004,101.706897
Prop_12,0,0,1,0,0.00780402,87.480647
Prop_13,0,1,1,1,0.003611543,78.729941
Prop_14,1,1,3,2,0.063039728,288.302426
Prop_15,7,2,3,2,0.094995013,826.846836
Prop_16,0,1,2,1,0.006547222,163.34399
Prop_17,8,5,12,3,0.105480209,102.492316
Prop_18,12,4,20,5,38.371367612,249.932862
Prop_19,6,3,6,4,0.165128872,1082.597477
Prop_20,7,3,3,3,0.112257297,1424.082553
Prop_21,12,11,20,9,38.017453635,213.317341
Prop_22,5,2,8,8,0.008983462000000001,180.211175
Prop_23,5,2,8,9,0.008545119,173.392655
Prop_24,15,6,20,11,0.465651409,342.564362
Prop_25,15,6,20,11,0.485137468,323.531509
Prop_26,0,0,10,0,0.254905047,264.431038
Prop_27,0,0,10,0,0.258262728,291.122811
Prop_28,0,0,10,0,0.258497715,275.28962
Prop_29,6,2,7,1,0.129145592,669.329555
Prop_30,8,3,12,2,0.26408507200000003,1114.549766
Prop_31,4,2,6,7,0.035152672,68.123381
Prop_32,4,2,6,7,0.035549095,67.13216
Prop_33,16,6,18,9,0.30861222,258.681404
Prop_34,16,6,18,9,0.304061211,259.913768
Prop_35,0,0,0,0,0.0019420510000000002,6.544759
Prop_36,0,0,0,0,0.001975054,5.98951
Prop_37,7,2,7,2,0.130098993,493.872165
Prop_38,5,0,10,0,0.467628054,730.238175
Prop_39,10,8,21,12,5.097593151,591.441925
Prop_40,1,1,1,1,0.22167239400000002,274.761826
Prop_41,1,0,1,0,0.36386154200000004,279.423747
Prop_42,1,1,1,1,0.21911466300000002,298.533363
Prop_43,1,1,3,2,0.102834991,289.49962
Prop_44,0,1,3,0,0.073137958,8.175482
Prop_45,0,1,1,1,0.010763955,6.881659
Prop_47,7,3,9,10,0.383061419,201.646865
Prop_48,0,0,5,0,3.221936759,136.289506
Prop_49,0,0,13,0,39.087829333,324.188956
Prop_50,11,4,8,4,2.960833403,1406.885363
Prop_51,0,0,3,0,0.21783993100000001,100.300413
Prop_52,6,0,7,0,0.201614267,1035.61848
Prop_53,8,4,12,3,0.691833743,1171.737868
Prop_54,11,10,17,11,1.124789187,298.496715
Prop_55,7,4,10,5,0.43893808300000003,1462.489522
Prop_56,5,4,10,8,0.043848297,289.979388
Prop_57,6,3,6,3,0.785497116,1044.211085
Prop_58,0,0,3,0,0.055242775,102.573821
Prop_59,0,1,5,0,0.115216041,109.232261
Prop_60,0,0,5,0,0.10904329900000001,107.068503
Prop_61,2,1,35,4,1958.927593727,1192.944056
Prop_62,0,0,2,0,0.00660931,182.467021
Prop_63,6,2,9,1,0.179574583,1064.528015
Prop_64,0,0,5,0,0.10697005000000001,126.163918
Prop_65,12,9,20,9,38.455203725,217.089206
Prop_66,5,3,3,2,0.046464609000000004,172.790639
Prop_67,6,3,4,3,0.413602648,890.168469
Prop_68,10,4,12,3,0.252177945,379.000377
Prop_69,12,11,20,9,40.236025431,275.578032
Prop_70,5,3,3,3,0.022057517000000002,50.491908
Prop_71,8,3,12,2,0.25928821700000004,886.396879
Prop_72,12,5,15,9,382.025564865,2397.741936
Prop_73,2,2,6,2,0.197223209,574.273864
Prop_74,11,1,15,4,324.394166649,2590.696147
Prop_75,10,8,21,12,5.135825106,550.432214
Prop_76,5,3,10,3,0.464227202,701.083246
Prop_77,5,0,10,0,3600,1034.303164
Prop_78,6,1,9,0,3600,1608.115337
Prop_79,5,3,4,3,0.076163085,447.427672
Prop_80,9,1,12,3,38.213003928,1361.049587
Prop_81,6,4,13,7,8.50849958,787.765798
Prop_82,1,0,3,0,1.033091049,256.496197
Prop_83,4,2,19,3,3600,1249.995927
Prop_84,4,2,19,3,3600,1246.714385
Prop_85,3,1,13,2,0.7263259900000001,1288.551592
Prop_86,8,3,12,2,0.24839786200000002,883.799266
