Benchmark,Hipster found,Hipster < TheSy,TheSy found,TheSy < Hipster,TheSy Time,Hipster Time
Prop_01,2,1,7,2,419.705026113,837.305445
Prop_02,11,9,24,14,29.61129214,1158.89443
Prop_03,9,5,19,6,6.797444642,665.912464
Prop_04,3,1,8,1,2.707078033,293.202383
Prop_05,4,2,8,1,2.570175381,303.475094
Prop_06,11,3,27,10,3600,310.060106
Prop_07,11,1,4,3,3600,312.827083
Prop_08,11,2,24,10,3600,315.612913
Prop_09,11,2,23,7,505.181571606,305.37079
Prop_10,5,5,7,4,1.97285555,525.465531
Prop_11,0,1,5,1,0.174466103,101.706897
Prop_12,0,1,7,0,0.49862391,87.480647
Prop_13,0,1,5,1,0.126024248,78.729941
Prop_14,1,1,3,2,0.105841558,288.302426
Prop_15,7,2,3,2,0.47651195300000004,826.846836
Prop_16,0,1,2,1,0.009460332,163.34399
Prop_17,8,5,14,3,0.20744515800000002,102.492316
Prop_18,12,4,25,5,104.144025588,249.932862
Prop_19,6,6,15,6,12.856964501,1082.597477
Prop_20,7,3,3,3,0.494503579,1424.082553
Prop_21,12,11,24,13,3600,213.317341
Prop_22,5,4,11,11,1149.019182632,180.211175
Prop_23,5,6,12,11,1132.462400885,173.392655
Prop_24,15,10,38,16,18.43329512,342.564362
Prop_25,15,10,28,15,1.885590007,323.531509
Prop_26,0,0,11,0,0.5538221050000001,264.431038
Prop_27,0,0,11,0,0.48889879900000005,291.122811
Prop_28,0,0,11,0,0.5053278600000001,275.28962
Prop_29,6,2,10,1,0.343362367,669.329555
Prop_30,8,3,14,2,0.49437355400000005,1114.549766
Prop_31,4,3,11,12,16.565749532,68.123381
Prop_32,4,4,11,12,18.439939914,67.13216
Prop_33,16,10,33,19,128.898045981,258.681404
Prop_34,16,10,31,17,128.023370522,259.913768
Prop_35,0,0,0,0,0.0035040310000000003,6.544759
Prop_36,0,0,0,0,0.0036340680000000003,5.98951
Prop_37,7,2,8,2,0.334624444,493.872165
Prop_38,5,0,11,0,4.7287155940000005,730.238175
Prop_39,10,9,24,11,7.40643667,591.441925
Prop_40,1,2,5,3,68.819077516,274.761826
Prop_41,1,0,1,0,191.204694343,279.423747
Prop_42,1,2,5,3,35.005261353,298.533363
Prop_43,1,1,3,2,0.143084972,289.49962
Prop_44,0,1,3,0,0.26744359,8.175482
Prop_45,0,1,1,1,0.12258141500000001,6.881659
Prop_47,7,7,14,15,1179.205172739,201.646865
Prop_48,0,0,5,0,3.475849443,136.289506
Prop_49,0,0,13,0,13.573154367,324.188956
Prop_50,11,7,18,8,486.867349541,1406.885363
Prop_51,0,0,3,0,0.269860095,100.300413
Prop_52,6,0,8,0,2.86212277,1035.61848
Prop_53,8,4,15,3,7.857929264,1171.737868
Prop_54,11,10,25,17,3600,298.496715
Prop_55,7,6,18,7,80.445657452,1462.489522
Prop_56,5,6,12,10,1.022074828,289.979388
Prop_57,6,5,17,5,47.903074868,1044.211085
Prop_58,0,0,13,0,5.282807958,102.573821
Prop_59,0,1,5,0,0.129689294,109.232261
Prop_60,0,0,5,0,0.15226327,107.068503
Prop_61,2,1,35,2,26.618167886,1192.944056
Prop_62,0,0,2,0,0.008777897,182.467021
Prop_63,6,2,13,1,1.9375706250000002,1064.528015
Prop_64,0,0,5,0,0.131234246,126.163918
Prop_65,12,9,23,8,46.103556807,217.089206
Prop_66,5,3,3,2,0.218156441,172.790639
Prop_67,6,4,7,3,39.924982642,890.168469
Prop_68,10,4,16,3,0.706231343,379.000377
Prop_69,12,10,24,9,93.221204754,275.578032
Prop_70,5,3,3,3,0.069489233,50.491908
Prop_71,8,3,15,2,0.454785955,886.396879
Prop_72,12,8,26,13,3600,2397.741936
Prop_73,2,2,6,2,0.24822317400000002,574.273864
Prop_74,11,2,31,6,3600,2590.696147
Prop_75,10,8,25,12,1559.880987416,550.432214
Prop_76,5,3,13,3,4.686187767,701.083246
Prop_77,5,0,14,0,3600,1034.303164
Prop_78,6,1,16,0,3600,1608.115337
Prop_79,5,4,7,3,1.965387309,447.427672
Prop_80,9,1,20,6,141.239937456,1361.049587
Prop_81,6,5,18,11,3600,787.765798
Prop_82,1,1,17,2,673.238635069,256.496197
Prop_83,4,3,32,4,3600,1249.995927
Prop_84,4,3,40,5,3600,1246.714385
Prop_85,3,1,13,2,2.675702662,1288.551592
Prop_86,8,3,14,2,0.49082130500000004,883.799266
